id_statement,type_obs,actor,observation,comment_obs,date,time,package,section_title,subsection,issue_detail,option_detail,pro_contra,issue_data,language,negotiation_format,side_main,doc_type,link,author,id_num,forum,meeting,file_location,id_observation,==...,time_parsed,speaking_time,informal_formal
20250317_10:08:04_eh_st_2,5,xxx_observation,meeting is late,"stream is working, speaking tests were heard earlier, but now just the welcome screen is shown with no sound",2025-03-17,10:08:04,,,,,,,,,formal plenary,main,,,eh,2,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:08:04_eh_obs_1,TRUE,10:08:04,397,formal
20250317_10:14:41_eh_st_3,4,president,opening,"good morning everyone, may i please invite you to take your seats. we will start in a minute or two. thank you very much.; good morning everyone, may i please invite you to take your seats. we will start in a minute or two. thank you very much. applause. excellencies, distinguished representatives, observers, ladies and gentlemen, it is a great honor and privilege for me to bid you all a warm welcome here to kingston, jamaica, for those of you traveling here and to the international seabed authority, this gives me again, great pleasure to see very many familiar, friendly faces. and again, i am pleased to also see some new faces coming here. so to you who are here for the first time, a special welcome to the international seabed family. i would also like to say that on a personal note, i am celebrating this year because this is the 25th year for me coming here a quarter of a century, attending the international sea level authority meeting. thank you very much. thank you.; and one of the reasons is obviously because of the importance of the work that we all are doing. that's why we come but it is also thanks to the warm hospitality by the government and people of jamaica. i always love coming back to jamaica. firstly, this time, we will have a security announcement, i believe, from the secretariat. i'm not sure who is going to do that. please. you have the",2025-03-17,10:14:41,,,,,,,,,formal plenary,main,,,eh,3,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:14:41_eh_obs_2; 20250317_10:14:41_eh_obs_3; 20250317_10:14:41_eh_obs_4,TRUE,10:14:41,216,formal
20250317_10:18:17_eh_st_6,4,head of security,security briefing,,2025-03-17,10:18:17,,,,,,,,,formal plenary,main,,,eh,6,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:18:17_eh_obs_5,TRUE,10:18:17,140,formal
20250317_10:20:37_eh_st_7,4,president,"welcoming president; introduction to the negotiations, priotity given to draft regulations, declared open","thank you very much for your briefing. now this is a special session for several reasons. the most important one, i believe, is because we have our new secretary general on the podium, ms leticia carvalho, and please join me in welcoming her warmly to the authority.; now this is a special session for several reasons. the most important one, i believe, is because we have our new secretary general on the podium, ms leticia carvalho, and please join me in welcoming her warmly to the authority. we will hear from her shortly, but i have some additional remarks i will give first. another reason for this being a special session is that we have reached 30 years. we are entering our fourth decade of meetings at the international seabed authority. and i think that is also worth taking note of now. since we last met in july last year, a lot of work has been carried out, not least related to the rules and regulations for exploitation of mineral resources in the area, a number of informal groups have been working to further refine thinking and drafting. thank you very much to all those who have been involved in that as you will know, a revised draft of the president's text was circulated in late november, and new versions of the compilation and suspense documents have also been made available. the bureau has also been active three virtual meetings of consultations in order to facilitate the preparations of this session, also in light of the transition between the previous secretary general and the incumbent one, you will have seen the documents prepared to assist the council during this session, such as the president's briefing note, the indicative program of work and the provisional agenda. we have a busy schedule and a lot of work set out for us, with priority given to the continued development of the draft regulations. so again, welcome to the 30th session of the council. i am honored to declare open what i believe is the 320/5 meeting of the council. then i would like to invite our secretary general, leticia carvalho, please to give some introductory remarks. warm welcome again to you.",2025-03-17,10:20:37,,,,,,,,,formal plenary,main,,,eh,7,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:20:37_eh_obs_6; 20250317_10:20:37_eh_obs_7,TRUE,10:20:37,145,formal
20250317_10:23:02_eh_st_9,4,secretary general,"introduction, thanking, highlighting continuity and adaptability, high level technical expertise, gender equality, representation, stewardship, facilitated science,; highlights chp, planetary good governance, environment, science based, ocean diplomacy; calls for stakeholder involvement, voluntary trust fund, welcomes ireland and tanzania to participate; transitionary period, memoir on safeguarding institutional stability; the work ahead","thank you very much. mr. president, ambassador olaf excellences, distinguished representatives, colleagues, ladies and gentlemen, it's a great honor to address you today at the opening of the 30th session of the council, my first as secretary general of the international civil authority, at a pivotal moment for our organization, i warmly welcome you to kingston and extend especially special thanks to our host country. since 1996 jamaica has provided a home to the international sea battle authority, an unwavering support fostering collaboration and multilateral dialog on motion governance. i'm deeply grateful for the trust i received on august the second during the 29th 29th session of the international seabed authority, when i was elected secretary general for the period of 2025 2028 i'm fully committed to ensuring both continuity and adaptability in the face of evolving challenges. my election as the first latin american, the first oceanographer and the first woman to hold this position, also marks an important milestone for diversity and inclusion. it underscores the authorities commitment to high level technical expertise, broader geographic representation and the principle of rotation as we meet during women's history month, i reaffirm our dedication to advancing gender equality, empowering women scientists and diplomats through our capacity building initiatives. this year, this year marks the thirst session of the authority, a milestone that reflects three decades of dedicated work in advancing and the advancing this word, this word, ship of the area and its resources.; since its establishment, the authority has built a robust institutional and legal framework facilitated deep sea research and capacity building and promoted international cooperation to ensure that benefits of the common heritage of mankind, of humankind shared by all as we look to the future, our task remains critical. the deep sea bed in the area, the areas beyond national jurisdiction, the area covers over 54% of our oceans floor, placing a profound responsibility on the authority for planetary good governance. the authority must continue to adapt to new challenges, strengthen its governance mechanism and reinforce the trust of the international community in its ability to regulate deep sea activities. as secretary general, i remain firmly committed to supporting member states in maintaining the momentum and advancing the regulatory framework. this regulatory work mandated by by article 162 of united nations conventions on the law of the sea, which entrusts the authorities council with adopting the necessary rules, regulations and procedures for activities in the area, responsibility to deliver a robust, balanced, science based regulatory framework ensuring environmental protection and fair benefit. sharing is shared. it requires sustained engagement, collaboration, a spirit of consensus building. the credibility of multilateralism depends on trust. ocean diplomacy is at the heart of my approach, the diverse priorities, needs and aspirations of our member states and stakeholders just guide informant decision making that reflects our shared goals.; as the new secretary general, neutrality, and fostering broad and inclusive engagement from all sectors, business leaders, entrepreneurs, ngos, policy makers, scientists and young people. together, we must ensure that the authority embodies the spirit of multilateral, multilateral cooperation, serving as a model of transparent, inclusive and science based governance. okay. it is in the interests of all member states, in particular, small island developing states and least developed countries to participate actively in the negotiations. i call on all member states and all stakeholders to commit to support the participation of developing countries in the council, the legal and technical committee, the finance committee and the assembly, by strengthening the voluntary trust fund in the i would also like to welcome ireland and the united republic of tanzania to participate in the council for the first time. your voices will enrich our deliberations and help shape the important work of the authority.; i was determined that this would not be a simple transfer of power, but rather a structured and deliberate process to ensure the stability and continuity of the authority. from the outset, i took steps to engage, consult and prepare for the challenges ahead. recognizing the need for clarity, i issued an aid memoir on january 3, 2025 identifying key priorities to safeguard institutional stability, good governance and transparency. my goal was to ensure that the authority remained fully operational and ready for this new chapter, although my role during this period was limited, i made it a priority to listen, assess and lay a solid foundation for an effective administration, despite the difficulties, the unwavering support of the member states and the dedication of the authority staff have been extraordinary, and i'm deeply grateful for that. today i stand before you ready to commit, collaborate and to move forward with renewed energy and determination.; together, we will advance the authorities essential work with the commitment it deserves. the 29th session of the council marked an important milestone in the development of the regulations on the exploitation of mineral resources in the area. for the first time, the entire consolidated draft was discussed in a structured manner, facilitating in depth negotiations and highlighting areas for further discussion. progress continued during the intersessional period, with member states and stakeholders submitting detailed written comments and conducting technical consultations. i would like to express my sincere gratitude to the current president, to the bureau, to the facilitators and rapporteurs for their efforts during this period, the secretariat has diligently integrated the revised, consolidated text of the draft operating regulations and associated documents as issued by the president of the council in november 2024 finally, i wish to express my sincere admiration and appreciation to the legal and technical commission for its exceptional expertise and its unwavering commitment, the committee's advice has been essential to provide the best available scientific knowledge during the regulatory process and to guarantee the preservation of the seabed. i am honored to have hosted this group of exceptional experts whose contributions are a pillar to our collaborative efforts guided by an open spirit, i consulted with the president and the vice president of the council in the preparation of the draft agenda, thus ensuring a more representative approach. in addition, key documents have been provided in several languages with the aim of enhancing the accessibility and the participation of all member states. the 30th meeting provides a decisive opportunity for member states to overcome their differences, to reach consensus and to take concrete steps towards the implementation of council's roadmap.; i encourage all delegations to approach the forthcoming deliberations with a vision of the future, bearing in mind the responsibility of the authority to manage the resources of the seabed for the benefit of all humankind. from the outset of the session, i invite you to build on the progress made to date, basing yourselves on previous discussions and moving forward with a sense of shared responsibility. in my capacity as secretary general, i reaffirm my commitment to respect the functions and prerogatives of each organ in accordance with the applicable regulations, although substantive decisions are left to the discretion of member states. i would like to offer some logistical recommendations to profo to promote the efficient conduct of our work within a framework of collaboration and flexibility. given the time constraints, it is essential to be concise and to guarantee the participation of all stakeholders. the rules of procedure empower the presidency to propose time limits, which can be difficult, but they offer greater inclusiveness and better use of the time available in order to expedite the adoption of the agenda, the secretariat has had a prior dialog with the interested member states in order to ascertain their expectations and to facilitate the conclusion of agreements that would allow a smooth for a smooth, smooth start. member states have highlighted the need for a regular to a rigorous and comprehensive, comprehensive regulatory framework before moving on to any phase of seabed mining. with this focus on efficiency and consensus building, it is expected that by the end of the first of part of the 30th session, member states will have made substantial progress in revising the normative text and will have laid the groundwork for part two, scheduled for july 2025 by the end of the 30th session, the council should have made significant progress, which will provide the authority with the essential standards for fulfilling land and that in addition, will define the next steps, including the possible adoption of an updated roadmap or timetable. my aim is to safeguard the fundamental principles of the authority and to strengthen confidence in its ability to fulfill its essential mission, rediscovering the founding spirit of the organization will allow us to honor remarkable legacy and its unwavering commitment to the human heritage of humankind. a full version of my speech is available on the website. i there explain what i have done during the first my first three months in office, and the reforms implemented in the secretariat, in strict compliance with internal procedures at no additional cost, and in complete transparent transparency. i deeply appreciate your commitment and dedication so far, i wish you productive deliberations inspired by the spirit of conciliation that gave birth to the authority and aimed towards fulfilling its mandate, an agreement based on the shared responsibility to safeguard a common good essential to our life, mexico, muchas grasses. thank you, president.",2025-03-17,10:23:02,,,,,,,,,formal plenary,main,,,eh,9,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:23:02_eh_obs_8; 20250317_10:23:02_eh_obs_9; 20250317_10:23:02_eh_obs_10; 20250317_10:23:02_eh_obs_11; 20250317_10:23:02_eh_obs_12; 20250317_10:23:02_eh_obs_13,TRUE,10:23:02,1029,formal
20250317_10:40:11_eh_st_15,4,president,"thanks ltc, invites opening statements","thank you very much, madam secretary general, for your opening remarks. as the secretary general refer also like to thank the legal and technical commission, which has met the two weeks ahead of us convening here, i understand that it was an intense and productive two week session, and we will obviously hear more about that in the second part or the second week of this meeting. i understand that there are some delegations who might wish to give a brief statement during this opening session, so i will allow for for that and invite now any representatives who would like to speak at this stage to raise their flags and encourage you please to keep your statements as as brief as as possible for the efficient running of of our session. so i first have poland, please you have the floor",2025-03-17,10:40:11,,,,,,,,,formal plenary,main,,,eh,15,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:40:11_eh_obs_14,TRUE,10:40:11,59,formal
20250317_10:41:10_eh_st_16,3,poland obo eu,"obo eu; solidarity with ukraine, call for russia to cease military action","mr. president, madam secretary general. distinguished delegates, just please, let me congratulate, madam secretary general for your election and this opening speech, and also, mr. president, for your anniversary, i have an honor to deliver this statement on behalf of the european union and its member states. mr. president, at the outset, let me express the european union and its member states full solidarity with ukraine, the ukrainian people, 33 years of russia's illegal, unprovoked and unjustified, full scale invasion of ukraine, european union and its member states condemn in the strongest possible terms russia's war of aggression against ukraine, which grossly violates international law, the un charter and under times inter international security and stability, the european union and its member states demands that russia immediately cease its military actions, withdraw all its troops from the entire territory of ukraine and fully respect ukraine's territorial integrity, serenity and independence with its internationally recognized borders, we reiterate the call of the un general assembly resolution on this matter. i thank you.",2025-03-17,10:41:10,opening statement,,,,,,,,formal plenary,main,,,eh,16,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:41:10_eh_obs_15; 20250317_10:41:10_eh_obs_16,TRUE,10:41:10,130,formal
20250317_10:43:20_eh_st_18,3,jamaica,"focus on international womens day; congratulates sg on her new role; thanking former sg; thanking secretariat; highlights the importance for safeguarding the environment; highlights benefit of humankind; jamaica as a small island state, sis connection to unclos","mister president, it was only recently, in celebration of international women's day that senator, the honorable camina johnson smith, minister of foreign affairs and foreign trade, established and officially unveiled a wall of first jamaican women in diplomacy at the foreign ministry's headquarters. it is in this context that i ask you to allow me, on behalf of the government of jamaica, to reiterate our congratulations to miss letitia carvalho, the first female secretary general of the international seabed authority on the assumption of this important role, secretary general, we hope that your tenure has begun on an encouraging note, and we wish for you a successful and impactful tenure as host to the international seabird authority you can be assured of jamaica's continued support the conduct of your duties. the 30th session of the isa will discuss critical matters related to the good governance of the ocean and to the advancement of the work of the authority. thank ambassador michael bus for his incisive leadership of the council during the 29th session, and for meticulously guiding the process up to this point. thank him for his briefing note, which, as usual, highlighted the areas for focused attention at this session. in this regard, jamaica looks forward to continued discussions on the latest version of the revised consolidated text of the draft regulations on the exploitation of mineral resources in the area, in addition, as well as a high level engagement on the standards and guidelines guided by the revised roadmap, which was endorsed by the council at its 29th session, the meeting will provide an important opportunity for the council to identify what further actions may be required with respect to standards and guidelines, given their integral role in the development of an effective and feasible framework for the regulation of deep sea mining. my delegation also appreciates the work undertaken by the secretariat in preparing the revised consolidated text to facilitate our discussions. the president, jamaica agrees that the revised consolidated text provides an opportunity for further detailed negotiations aimed at closing gaps, resolving differences and achieving consensus. acknowledge that this is without prejudice to the right of any state to introduce new proposals, and are therefore mindful of the significant work to be undertaken within a limited time frame. we, however, recognize that the council is at an important juncture in its work and are prepared to continue to work towards establishing a comprehensive, effective, coherent, equitable regulatory framework that will, among other prescribed objectives, of unclos, safeguard the marine environment, my delegation looks forward to the deliberations on the consolidated text under your guidance and support your proposal for the president's consultations as necessary to advance the negotiation process. in so doing, we're very cognizant that the work in which we are now engaged is intended to authorize activities for the benefit of humankind. the drafters of unclos the constitution of the oceans tasked state parties with an extraordinary responsibility, but by freely accepting these obligations, we as states have accepted that burden with the attendant responsibilities and liabilities. as delegations begin the work of this part of the 30th session, we recall that this is a small island state where uncles was formally born. to make us commitment to the convention has never wavered since that day. therefore we commit to working in good faith with all those states who are parties to unclos and the agreement implementing part 11, as well as those who are taking steps towards this process, incrementally, where necessary, and more promptly, if there is consensus to implement the full range of commitments undertaken in so doing, the interests of all stakeholders in the common heritage of mankind will always be considered for both present and future generations as a small island developing state and as host country to the ic let me reiterate that jamaica remains committed to the principles and objectives of the united nations convention on the law of the sea. jamaica also places importance on the work of the council. and i reaffirm our long standing commitment to advancing the work of the authority by encouraging our shared values, principles and perspectives among member states. as i close mr. president, i underscore the vital role which the isa has to play towards a sustainable and equitable administration of the oceans resources. our progress during the 29 session demonstrate said what is achievable as we actively pursue the fundamental principles of the unclos to protect the common heritage of mankind. jamaica looks forward to productive discussions during part one of this first year session as we work towards the development of a fit for purpose regulatory framework that will ensure the efficient use and effective protection of the marine environment from any harmful effects that may arise from activities undertaken in the area. finally, mister president, my delegation, thanks you for your work and express jamaica's full confidence in your leadership, as we undertake this ambitious program of work in the interest of present and future generations. i thank you.",2025-03-17,10:43:20,opening statement,,,,,,,,formal plenary,main,,,eh,18,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:43:20_eh_obs_17; 20250317_10:43:20_eh_obs_18; 20250317_10:43:20_eh_obs_19; 20250317_10:43:20_eh_obs_20; 20250317_10:43:20_eh_obs_21; 20250317_10:43:20_eh_obs_22; 20250317_10:43:20_eh_obs_23,TRUE,10:43:20,433,formal
20250317_10:50:33_eh_st_25,3,latin american group,"obo latin american group; highlight woman, scientist as sg, new perspectives; building bridges to other international organizations","many thanks, mr. president. nice to see you again in our deliberations. i have their honor to take the floor on behalf the delegations from the latin american caribbean group. we will like to congratulate our new secretary general for her assumption of the important responsibility of leading the staff of isa and representing the authority group like wishes, especially to renew the support trust and confidence extended to you, madam secretary general, we are very sure about the unwavering commitment and capacity you bring to serve this important institution, we are certain that this new face of isa will greatly benefit from your experience and ability to help us accomplish the mandate of the convention and achieve the goals of the authority, having a woman scientist from our region as the head of the secretariat will install a fresh perspective and renew energy in support of our activities. madam secretary general, welcome. we count on you, and you may count on us. our new secretary general hope to play an important role during her tenure, with a view to promoting and improving collaboration, transparency, accountability and effectiveness in the authority and also in building bridges with other international organizations, those values must guide our our collective efforts, among other responsibilities, we should address the importance of taking into account the principles governing the area and the interest and needs of developing states, protection of the marine environment with double benefit shine, the promotion and encouragement of marine scientific research, dissemination of its results, capacity building and the transfer of marine technology, our delegations stand ready contribute constructively to the discussions on the elaboration of robust legal regulations that fold the status of the area and its resources as common heritage of humankind just warranting its peaceful use. thank you very much. thank you. i now have india, please. you have the floor.",2025-03-17,10:50:33,opening statement,,,,,,,,formal plenary,main,,,eh,25,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:50:33_eh_obs_24; 20250317_10:50:33_eh_obs_25; 20250317_10:50:33_eh_obs_26,TRUE,10:50:33,192,formal
20250317_10:53:45_eh_st_28,3,india,congratulates sg; asks that isa approves new conracts of work in indian ocean; highlights workshop; highlights training progam,"mr. president, my deal, my delegation, reaffirms that india attach a significant importance to the united nation, conventional law of the sea and the 1994 agreement on part 11 of the convention, by virtue of which the international seabed authority was established. the rapid progress in the activities of the authority and the expanding participation of developing states underlines the tone for the realization of one of the important aspects of that is common heritage of mankind. we are presently operating polymetallic modules and sulfide contracts in the indian ocean through year round activities. we are thankful to the council for approving our plan of work for sulfide exploration in the carlsberg ridge in the indian ocean. ocean. we are in the process of signing it after due process. moreover, our application for the plan of work for cobalt crust exploration in the affany sea mount of the indian ocean is pending with the authority. we hope quiet steps will be taken up by the authority for approval of our plan of work for cobalt crust application, enabling us to operate all three sea bed mineral exploration contracts in the oceans. name in the ocean named after our country, in line with our enhanced presence in the seabed mineral exploration activities in the indian ocean, we welcome, we welcome the proposal of karma for organizing the annual contractors meeting in india, and are happy to share that the workshop will be organized during september 2025, at national institute of oceanographic core. during 2024 we have completed two contractors training program, the at sea training for two month two months have been has been successfully completed, taking 10 participants from the developing countries. a comprehensive demonstration for polymetallic nodule exploration activities was conducted during this training program. another online training program related to sulfide contracts has been carried out during september 2024 taking five participants from developing countries. we are also organizing another at sea, poly metallic sulfides training in the indian ocean this month, mr. president, we continue our commitment to contribute to the area of seabed exploration in accordance with the class principles. thank the government of jamaica for their support and warm hospitality towards participation of all delegations and our delegation in this session, we look forward for effective and fruitful deliberations. s thank you",2025-03-17,10:53:45,opening statement,,,,,,,,formal plenary,main,,,eh,28,isa,30th part i council,p:/14_erc_twinpolitics/5_data/2_raw data/isa 30th session part i/20250317_isa30part1_eh.xlsx,20250317_10:53:45_eh_obs_27; 20250317_10:53:45_eh_obs_28; 20250317_10:53:45_eh_obs_29; 20250317_10:53:45_eh_obs_30,TRUE,10:53:45,237,formal
