"","actor","mean_mr","mean_si","mean_ec","mean_mr2","mean_si2","mean_ec2","n_statements","morastate","sponsorstate","morasponsor","council_member","is_regional_group","regional_group","isa_member","observer_state","igo","ngo","actor_type_eh2"
"1","advisory committee on the protection of the sea",0.19,0.79,0.91,0.19,0.79,0.91,2,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"2","african group",0.625,0.575,0.525,0.625,0.575,0.525,2,0,0,"neither",0,1,"african group",0,0,0,0,"regional group"
"3","antigua and barbuda",0.866666666666667,0.45,0.55,0.866666666666667,0.45,0.55,3,0,0,"neither",0,0,"latin american caribbean group",1,0,0,0,"member state"
"4","argentina",0.86,0.5125,0.516666666666667,0.86,0.5125,0.516666666666667,7,0,0,"neither",1,0,"latin american caribbean group",1,0,0,0,"member state"
"5","australia",0.316666666666667,0.065,0.606666666666667,0.316666666666667,0.065,0.606666666666667,4,0,0,"neither",1,0,"western europe and other states group",1,0,0,0,"member state"
"6","austria",0.465,0.4,0.85,0.465,0.4,0.85,2,1,0,"moratorium/pp",0,0,"western europe and other states group",1,0,0,0,"member state"
"7","bahamas",0.7575,0.33,0.6,0.7575,0.33,0.6,4,0,0,"neither",0,0,"latin american caribbean group",1,0,0,0,"member state"
"8","bangladesh",0.675,0.55,0.825,0.675,0.55,0.825,2,0,0,"neither",1,0,"asia pacific group",1,0,0,0,"member state"
"9","barbados",0.7,0.4,0.525,0.7,0.4,0.525,2,0,0,"neither",0,0,"latin american caribbean group",1,0,0,0,"member state"
"10","belgium",0.836,0.335,0.425,0.836,0.335,0.425,6,0,1,"sponsor",1,0,"western europe and other states group",1,0,0,0,"member state"
"11","brazil",0.724,0.37,0.72,0.724,0.37,0.72,5,1,1,"both",1,0,"latin american caribbean group",1,0,0,0,"member state"
"12","cameroon",0.905,0.17,0.474,0.765,0.3725,0.4995,5,0,0,"neither",1,0,"african group",1,0,0,0,"member state"
"13","canada",0.61,0.675,0.87,0.61,0.675,0.87,6,1,0,"moratorium/pp",1,0,"western europe and other states group",1,0,0,0,"member state"
"14","centre for community and oceanic law",0.4,0.45,0,0.4,0.45,0,1,0,0,"neither",0,0,"none",0,0,0,1,"observer ngo"
"15","chair legal and technical commission",0.815,0.585,0.59,0.815,0.585,0.59,2,0,0,"neither",0,0,"none",0,0,0,0,"isa"
"16","chile",0.548181818181818,0.494444444444444,0.762,0.548181818181818,0.494444444444444,0.762,12,1,0,"moratorium/pp",1,0,"latin american caribbean group",1,0,0,0,"member state"
"17","china",0.750833333333333,0.332,0.470909090909091,0.750833333333333,0.332,0.470909090909091,13,0,1,"sponsor",1,0,"asia pacific group",1,0,0,0,"member state"
