source,target,weight
advisory_committee_on_the_protection_of_the_sea,mr,0.19
advisory_committee_on_the_protection_of_the_sea,si,0.79
advisory_committee_on_the_protection_of_the_sea,ec,0.91
african_group,mr,0.625
african_group,si,0.575
african_group,ec,0.525
antigua_and_barbuda,mr,0.866666666666667
antigua_and_barbuda,si,0.45
antigua_and_barbuda,ec,0.55
argentina,mr,0.86
argentina,si,0.5125
argentina,ec,0.516666666666667
australia,mr,0.316666666666667
australia,si,0.065
australia,ec,0.606666666666667
austria,mr,0.465
austria,si,0.4
austria,ec,0.85
bahamas,mr,0.7575
bahamas,si,0.33
bahamas,ec,0.6
bangladesh,mr,0.675
bangladesh,si,0.55
bangladesh,ec,0.825
barbados,mr,0.7
barbados,si,0.4
barbados,ec,0.525
belgium,mr,0.836
belgium,si,0.335
belgium,ec,0.425
brazil,mr,0.724
brazil,si,0.37
brazil,ec,0.72
cameroon,mr,0.765
cameroon,si,0.3725
cameroon,ec,0.4995
canada,mr,0.61
canada,si,0.675
canada,ec,0.87
centre_for_community_and_oceanic_law,mr,0.4
centre_for_community_and_oceanic_law,si,0.45
centre_for_community_and_oceanic_law,ec,0
chair_legal_and_technical_commission,mr,0.815
chair_legal_and_technical_commission,si,0.585
chair_legal_and_technical_commission,ec,0.59
chile,mr,0.548181818181818
chile,si,0.494444444444444
chile,ec,0.762
china,mr,0.750833333333333
china,si,0.332
china,ec,0.470909090909091
costa_rica,mr,0.38
costa_rica,si,0.473
costa_rica,ec,0.773636363636364
council_president,mr,0.875
council_president,si,0.12
council_president,ec,0.54
croatia,mr,0.2
croatia,si,0.65
croatia,ec,0.95
cuba,mr,0.65
cuba,si,0.225
cuba,ec,0.875
dosi,mr,0.1
dosi,si,0.875
dosi,ec,0.81
dscc,mr,0.06
dscc,si,0.6975
dscc,ec,0.955
ecuador,mr,0.2
ecuador,si,0.6
ecuador,ec,0.95
federated_states_of_micronesia,mr,0.3
federated_states_of_micronesia,si,0.45
federated_states_of_micronesia,ec,0.8
fiji,mr,0.466666666666667
fiji,si,0.51
fiji,ec,0.593333333333333
france,mr,0.528333333333333
france,si,0.415
france,ec,0.591666666666667
germany,mr,0.45
germany,si,0.476
germany,ec,0.755
ghana,mr,0.7625
ghana,si,0.2875
ghana,ec,0.3125
greece,mr,0.1975
greece,si,0.475
greece,ec,0.93
greenpeace,mr,0.5
greenpeace,si,0.41
greenpeace,ec,0.94
india,mr,0.841111111111111
india,si,0.35875
india,ec,0.602857142857143
interim_director_general_of_the_enterprise,mr,0.726
interim_director_general_of_the_enterprise,si,0.428
interim_director_general_of_the_enterprise,ec,0.35
international_telecommunication_union,mr,0
international_telecommunication_union,si,0.25
international_telecommunication_union,ec,0.2
ireland,mr,0.718571428571429
ireland,si,0.425714285714286
ireland,ec,0.535714285714286
italy,mr,0.535714285714286
italy,si,0.393333333333333
italy,ec,0.728571428571429
iucn,mr,0.12
iucn,si,0.55
iucn,ec,0.97
ivory_coast,mr,0.4125
ivory_coast,si,0.3375
ivory_coast,ec,0.6625
jamaica,mr,0.722857142857143
jamaica,si,0.241666666666667
jamaica,ec,0.53
japan,mr,0.876
japan,si,0.3775
japan,ec,0.4575
kenya,mr,0.684166666666667
kenya,si,0.6375
kenya,ec,0.615833333333333
madagascar,mr,0.4625
madagascar,si,0.6125
madagascar,ec,0.7375
malta,mr,0.616666666666667
malta,si,0.683333333333333
malta,ec,0.783333333333333
marshall_islands,mr,0.42
marshall_islands,si,0.7
marshall_islands,ec,0.92
mexico,mr,0.783333333333333
mexico,si,0.336666666666667
mexico,ec,0.445
monaco,mr,0.0875
monaco,si,0.566
monaco,ec,0.894
morocco,mr,0.5125
morocco,si,0.7375
morocco,ec,0.6125
mozambique,mr,0.3375
mozambique,si,0.4375
mozambique,ec,0.6875
nauru,mr,0.8
nauru,si,0.94
nauru,ec,0.37
netherlands,mr,0.57125
netherlands,si,0.506
netherlands,ec,0.475
new_zealand,mr,0.7
new_zealand,si,0.45
new_zealand,ec,0.625
nigeria,mr,0.759166666666667
nigeria,si,0.5875
nigeria,ec,0.5925
norway,mr,0.445
norway,si,0.45
norway,ec,0.7325
oceans_north,mr,0.1
oceans_north,si,0.25
oceans_north,ec,0.85
opes_oceani_foundation,mr,0.885
opes_oceani_foundation,si,0.18
opes_oceani_foundation,ec,0.295
pakistan,mr,0.575
pakistan,si,0.275
pakistan,ec,0.84
palau,mr,0.0933333333333333
palau,si,0.76
palau,ec,0.9075
panama,mr,0.19
panama,si,0.546
panama,ec,0.772
pew,mr,0.575
pew,si,0.625
pew,ec,0.815
philippines,mr,0.5575
philippines,si,0.365
philippines,ec,0.7875
poland,mr,0.826666666666667
poland,si,0.216666666666667
poland,ec,0.49
portugal,mr,0.624
portugal,si,0.25
portugal,ec,0.786
qatar,mr,0.78
qatar,si,0.5
qatar,ec,0.86
republic_of_korea,mr,0.235
republic_of_korea,si,0.85
republic_of_korea,ec,0.85
russia,mr,0.753636363636364
russia,si,0.267142857142857
russia,ec,0.715
samoa,mr,0.45
samoa,si,0.65
samoa,ec,0.9
saudi_arabia,mr,0.815
saudi_arabia,si,0.12
saudi_arabia,ec,0.36
secretary_general,mr,0.736666666666667
secretary_general,si,0.55
secretary_general,ec,0.598571428571429
senegal,mr,0.6825
senegal,si,0.6175
senegal,ec,0.6575
sierra_leone,mr,0.6775
sierra_leone,si,0.59
sierra_leone,ec,0.5075
singapore,mr,0.8125
singapore,si,0.333333333333333
singapore,ec,0.505
slovenia,mr,0
slovenia,si,0.4
slovenia,ec,0.95
south_africa,mr,0.57625
south_africa,si,0.445
south_africa,ec,0.6225
spain,mr,0.56875
spain,si,0.278571428571429
spain,ec,0.625
sri_lanka,mr,0.18
sri_lanka,si,0.73
sri_lanka,ec,0.92
sustainable_ocean_alliance,mr,0.02
sustainable_ocean_alliance,si,0.45
sustainable_ocean_alliance,ec,0.95
switzerland,mr,0.51
switzerland,si,0.4
switzerland,ec,0.631428571428571
tanzania,mr,0.7675
tanzania,si,0.49875
tanzania,ec,0.525833333333333
te_ipukarea_society,mr,0
te_ipukarea_society,si,0.2
te_ipukarea_society,ec,0.9
tetiaroa_society,mr,0
tetiaroa_society,si,0.3
tetiaroa_society,ec,0.95
the_ocean_and_us,mr,0.05
the_ocean_and_us,si,0.45
the_ocean_and_us,ec,0.98
tonga,mr,0.77
tonga,si,0.428333333333333
tonga,ec,0.58
trinidad_and_tobago,mr,0.692
trinidad_and_tobago,si,0.362
trinidad_and_tobago,ec,0.41
tuvalu,mr,0.2
tuvalu,si,0.45
tuvalu,ec,0.933333333333333
uganda,mr,0.4625
uganda,si,0.4625
uganda,ec,0.2625
uk,mr,0.815
uk,si,0.328571428571429
uk,ec,0.505
usa,mr,0.9
usa,si,0.45
usa,ec,0.1
viet_nam,mr,0.815
viet_nam,si,0.485
viet_nam,ec,0.65
wwf,mr,0.05
wwf,si,0.5125
wwf,ec,0.955
zambia,mr,0.3375
zambia,si,0.5125
zambia,ec,0.7225
zimbabwe,mr,0.63
zimbabwe,si,0.61
zimbabwe,ec,0.549166666666667
