source,target,weight
advisory_committee_on_the_protection_of_the_sea,mr,0.44333333333333336
advisory_committee_on_the_protection_of_the_sea,si,0.79
advisory_committee_on_the_protection_of_the_sea,ec,0.64
african_group,mr,0.6666666666666666
african_group,si,0.39999999999999997
african_group,ec,0.5
antigua_and_barbuda,mr,0.8666666666666667
antigua_and_barbuda,si,0.45
antigua_and_barbuda,ec,0.55
argentina,mr,0.7581818181818182
argentina,si,0.39333333333333337
argentina,ec,0.4116666666666667
australia,mr,0.31666666666666665
australia,si,0.065
australia,ec,0.6066666666666667
austria,mr,0.465
austria,si,0.4
austria,ec,0.8500000000000001
bahamas,mr,0.616
bahamas,si,0.274
bahamas,ec,0.6
bangladesh,mr,0.7233333333333334
bangladesh,si,0.55
bangladesh,ec,0.71
barbados,mr,0.7
barbados,si,0.4
barbados,ec,0.525
belgium,mr,0.855
belgium,si,0.335
belgium,ec,0.425
brazil,mr,0.8077777777777778
brazil,si,0.316
brazil,ec,0.686
cameroon,mr,0.76
cameroon,si,0.285
cameroon,ec,0.4975
canada,mr,0.605
canada,si,0.62
canada,ec,0.63
centre_for_community_and_oceanic_law,mr,0.4
centre_for_community_and_oceanic_law,si,0.45
centre_for_community_and_oceanic_law,ec,0
chair_legal_and_technical_commission,mr,0.815
chair_legal_and_technical_commission,si,0.585
chair_legal_and_technical_commission,ec,0.5900000000000001
chair_of_finance_committee,mr,0.8566666666666667
chair_of_finance_committee,si,0.15666666666666668
chair_of_finance_committee,ec,0.09333333333333334
chile,mr,0.6357894736842106
chile,si,0.3769230769230769
chile,ec,0.679375
china,mr,0.7888888888888889
china,si,0.26
china,ec,0.4341666666666667
cook_islands,mr,0.8999999999999999
cook_islands,si,0.05
cook_islands,ec,0.125
costa_rica,mr,0.4847368421052632
costa_rica,si,0.4225
costa_rica,ec,0.6494117647058824
council,mr,0.875
council,si,0.12
council,ec,0.54
croatia,mr,0.2
croatia,si,0.65
croatia,ec,0.95
cuba,mr,0.65
cuba,si,0.225
cuba,ec,0.875
denmark,mr,0.35
denmark,si,0
denmark,ec,0.9
dosi,mr,0.125
dosi,si,0.8642857142857143
dosi,ec,0.825
dscc,mr,0.043333333333333335
dscc,si,0.5616666666666666
dscc,ec,0.9583333333333333
ecuador,mr,0.2
ecuador,si,0.6
ecuador,ec,0.95
federated_states_of_micronesia,mr,0.3
federated_states_of_micronesia,si,0.45
federated_states_of_micronesia,ec,0.8
fiji,mr,0.5800000000000001
fiji,si,0.3733333333333333
fiji,ec,0.49
france,mr,0.5025000000000001
france,si,0.38
france,ec,0.569375
germany,mr,0.4357142857142857
germany,si,0.49666666666666665
germany,ec,0.7711111111111111
ghana,mr,0.6583333333333333
ghana,si,0.19999999999999998
ghana,ec,0.3375
greece,mr,0.218
greece,si,0.3333333333333333
greece,ec,0.924
greenpeace,mr,0.27999999999999997
greenpeace,si,0.365
greenpeace,ec,0.904
india,mr,0.8107692307692308
india,si,0.35777777777777775
india,ec,0.5466666666666666
indonesia,mr,0.8400000000000001
indonesia,si,0.07
indonesia,ec,0.74
interim_director_general_of_the_enterprise,mr,0.7633333333333333
interim_director_general_of_the_enterprise,si,0.428
interim_director_general_of_the_enterprise,ec,0.3
international_telecommunication_union,mr,0
international_telecommunication_union,si,0.25
