,actor,mean_mr,mean_si,mean_ec,mean_mr2,mean_si2,mean_ec2,n_statements,morastate,sponsorstate,morasponsor,council_member,is_regional_group,regional_group,isa_member,observer_state,igo,ngo,actor_type_eh2
1,advisory committee on the protection of the sea,0.443333333,0.79,0.64,0.443333333,0.79,0.64,3,0,0,neither,0,0,none,0,0,0,1,observer ngo
2,african group,0.666666667,0.4,0.5,0.666666667,0.4,0.5,3,0,0,neither,0,1,african group,0,0,0,0,regional group
3,antigua and barbuda,0.866666667,0.45,0.55,0.866666667,0.45,0.55,3,0,0,neither,0,0,latin american caribbean group,1,0,0,0,member state
4,argentina,0.758181818,0.393333333,0.411666667,0.758181818,0.393333333,0.411666667,11,0,0,neither,1,0,latin american caribbean group,1,0,0,0,member state
5,australia,0.316666667,0.065,0.606666667,0.316666667,0.065,0.606666667,4,0,0,neither,1,0,western europe and other states group,1,0,0,0,member state
6,austria,0.465,0.4,0.85,0.465,0.4,0.85,2,1,0,moratorium/pp,0,0,western europe and other states group,1,0,0,0,member state
7,bahamas,0.616,0.274,0.6,0.616,0.274,0.6,5,0,0,neither,0,0,latin american caribbean group,1,0,0,0,member state
8,bangladesh,0.723333333,0.55,0.71,0.723333333,0.55,0.71,3,0,0,neither,1,0,asia pacific group,1,0,0,0,member state
9,barbados,0.7,0.4,0.525,0.7,0.4,0.525,2,0,0,neither,0,0,latin american caribbean group,1,0,0,0,member state
10,belgium,0.855,0.335,0.425,0.855,0.335,0.425,7,0,1,sponsor,1,0,western europe and other states group,1,0,0,0,member state
11,brazil,0.807777778,0.316,0.686,0.807777778,0.316,0.686,9,1,1,both,1,0,latin american caribbean group,1,0,0,0,member state
12,cameroon,0.853333333,0.17,0.495,0.76,0.285,0.4975,7,0,0,neither,1,0,african group,1,0,0,0,member state
13,canada,0.605,0.62,0.63,0.605,0.62,0.63,9,1,0,moratorium/pp,1,0,western europe and other states group,1,0,0,0,member state
14,centre for community and oceanic law,0.4,0.45,0,0.4,0.45,0,1,0,0,neither,0,0,none,0,0,0,1,observer ngo
15,chair legal and technical commission,0.815,0.585,0.59,0.815,0.585,0.59,2,0,0,neither,0,0,none,0,0,0,0,isa
