id,x,y
mr,600,0
si,0,720
ec,-600,0
advisory_committee_on_the_protection_of_the_sea,-90,571
african_group,98,271
antigua_and_barbuda,190,387
argentina,247,259
australia,-138,4
austria,-272,239
bahamas,37,205
bangladesh,-24,434
barbados,58,283
belgium,272,242
brazil,100,232
cameroon,172,159
canada,2,451
centre_for_community_and_oceanic_law,203,356
chair_legal_and_technical_commission,141,424
chair_of_finance_committee,494,96
chile,-9,246
china,199,218
cook_islands,460,5
costa_rica,-103,278
council president,229,68
croatia,-482,518
cuba,-99,125
denmark,-275,5
dosi,-445,654
dscc,-579,446
ecuador,-441,448
federated_states_of_micronesia,-276,309
fiji,31,258
france,4,299
germany,-202,349
ghana,202,167
greece,-461,250
greenpeace,-381,292
india,129,264
indonesia,56,94
interim_director_general_of_the_enterprise,263,372
international_telecommunication_union,-188,136
ireland,288,277
italy,-68,267
iucn,-542,409
ivory_coast,-90,184
jamaica,109,128
japan,317,155
kenya,40,433
legal_counsel,481,38
lesotho,-62,388
madagascar,-156,368
malta,-68,493
marshall_islands,-294,520
mauritius,264,99
mexico,167,210
monaco,-481,460
morocco,69,315
mozambique,-227,252
nauru,399,522
netherlands,-17,346
new_zealand,222,334
nigeria,65,227
norway,-149,291
oceans_north,-466,174
opes_oceani_foundation,385,138
pakistan,-143,230
palau,-486,586
panama,-244,359
pew,-240,403
philippines,-191,263
poland,274,140
portugal,12,129
qatar,-97,382
republic_of_korea,-370,599
russia,-1,195
samoa,-257,489
saudi_arabia,298,110
secretary_general,129,311
senegal,58,358
sierra_leone,89,345
singapore,77,158
slovenia,-553,303
south_africa,-41,218
spain,-92,235
sri_lanka,-460,569
sustainable_ocean_alliance,-546,262
switzerland,-100,311
tanzania,207,260
te_ipukarea_society,-537,152
tetiaroa_society,-605,234
the_ocean_and_us,-564,350
tonga,0,390
trinidad_and_tobago,94,190
tuvalu,-430,312
uganda,163,271
uk,146,136
usa,473,373
viet_nam,164,332
wwf,-504,323
zambia,-230,299
zimbabwe,124,391
